ticker,caller,timestamp,Open,high,close,low,supply,market_cap,volume
ETH-USD,backtest_v2,2026-01-16 17:00:00+00:00,3278.3,3286.26,3282.72,3264.24,122373866.2178,401719138110.4964,6202.08436898
ETH-USD,backtest_v2,2026-01-16 18:00:00+00:00,3282.63,3287.13,3276.99,3275.7,122373866.2178,401017935857.0684,4961.44621608
ETH-USD,backtest_v2,2026-01-16 19:00:00+00:00,3276.94,3278.3,3274.49,3266.67,122373866.2178,400712001191.5239,5950.33848764
ETH-USD,backtest_v2,2026-01-16 20:00:00+00:00,3274.49,3292.88,3291.84,3262.29,122373866.2178,402835187770.4028,5364.11240661
ETH-USD,backtest_v2,2026-01-16 21:00:00+00:00,3292.07,3298.16,3289.14,3285.58,122373866.2178,402504778331.6147,3039.00106403
ETH-USD,backtest_v2,2026-01-16 22:00:00+00:00,3289.14,3295.0,3292.7,3281.2,122373866.2178,402940429295.35004,1981.72875185
ETH-USD,backtest_v2,2026-01-16 23:00:00+00:00,3292.7,3298.7,3294.88,3291.16,122373866.2178,403207204323.7049,1539.48951767
ETH-USD,backtest_v2,2026-01-17 00:00:00+00:00,3294.87,3296.3,3291.83,3288.8,122373866.2178,402833964031.7406,1091.53023599
ETH-USD,backtest_v2,2026-01-17 01:00:00+00:00,3291.82,3295.07,3289.62,3286.26,122373866.2178,402563517787.39923,1119.95605884
ETH-USD,backtest_v2,2026-01-17 02:00:00+00:00,3289.64,3291.54,3290.74,3282.3,122373866.2178,402700576517.5632,1125.52872947
ETH-USD,backtest_v2,2026-01-17 03:00:00+00:00,3290.74,3291.02,3288.01,3286.2,122373866.2178,402366495862.78864,685.36772434
ETH-USD,backtest_v2,2026-01-17 04:00:00+00:00,3288.01,3291.41,3290.55,3284.21,122373866.2178,402677325482.9818,511.68238922
ETH-USD,backtest_v2,2026-01-17 05:00:00+00:00,3290.55,3292.74,3290.08,3288.15,122373866.2178,402619809765.85944,559.24689395
ETH-USD,backtest_v2,2026-01-17 06:00:00+00:00,3290.08,3292.42,3289.79,3286.05,122373866.2178,402584321344.65625,376.65797051
ETH-USD,backtest_v2,2026-01-17 07:00:00+00:00,3289.79,3291.75,3290.29,3286.01,122373866.2178,402645508277.7652,484.511445
