ticker,caller,low,high,Open,close,volume,timestamp,supply,eth_daily_tx,market_cap,btc_open,btc_high,btc_low,btc_close,btc_volume
ETH-USD,main,3300.01,3309.38,3300.61,3309.33,1074.66809696,2026-01-17 23:00:00+00:00,122373866.2178,2398473.0,404975506690.55206,95124.25,95180.26,95066.72,95109.99,111.23481202
ETH-USD,main,3301.72,3313.39,3309.0,3303.21,1212.23151621,2026-01-18 00:00:00+00:00,122373866.2178,1920802.0,404226578629.29913,95109.99,95197.7,95027.52,95070.66,64.97377796
ETH-USD,main,3293.92,3305.89,3303.2,3299.94,1256.06905798,2026-01-18 01:00:00+00:00,122373866.2178,1920802.0,403826416086.76697,95070.67,95070.67,94821.01,94928.45,102.88116181
ETH-USD,main,3295.21,3304.64,3299.79,3301.8,1054.16550835,2026-01-18 02:00:00+00:00,122373866.2178,1920802.0,404054031477.93207,94928.45,95027.99,94835.05,94984.22,63.6702262
ETH-USD,main,3301.06,3317.38,3302.03,3314.66,846.23666142,2026-01-18 03:00:00+00:00,122373866.2178,1920802.0,405627759397.493,94984.22,95176.27,94977.83,95154.01,62.93371081
ETH-USD,main,3308.35,3316.71,3314.61,3310.73,719.50484325,2026-01-18 04:00:00+00:00,122373866.2178,1920802.0,405146830103.257,95154.0,95154.01,95034.01,95060.23,49.12029575
ETH-USD,main,3309.76,3316.94,3310.74,3314.9,576.89773609,2026-01-18 05:00:00+00:00,122373866.2178,1920802.0,405657129125.38525,95060.23,95221.99,95012.6,95148.0,63.34052571
ETH-USD,main,3310.63,3316.65,3315.0,3314.29,509.75848499,2026-01-18 06:00:00+00:00,122373866.2178,1920802.0,405582481066.9924,95148.01,95167.46,95087.86,95135.04,37.82266101
ETH-USD,main,3304.63,3314.96,3314.28,3306.13,595.64568886,2026-01-18 07:00:00+00:00,122373866.2178,1920802.0,404583910318.65515,95135.04,95146.0,94985.1,94991.52,32.30111392
ETH-USD,main,3302.41,3315.55,3306.26,3314.33,487.72591335,2026-01-18 08:00:00+00:00,122373866.2178,1920802.0,405587376021.6411,94991.52,95157.63,94978.13,95134.73,30.4565516
ETH-USD,main,3313.0,3323.66,3314.32,3321.76,835.54912289,2026-01-18 09:00:00+00:00,122373866.2178,1920802.0,406496613847.6394,95134.73,95237.7,95107.98,95220.08,33.96682457
ETH-USD,main,3317.26,3324.9,3321.76,3324.41,298.9101886,2026-01-18 10:00:00+00:00,122373866.2178,1920802.0,406820904593.1165,95220.08,95249.93,95040.83,95133.0,31.09134984
ETH-USD,main,3317.95,3324.42,3324.42,3321.03,518.91396057,2026-01-18 11:00:00+00:00,122373866.2178,1920802.0,406407280925.30035,95133.0,95141.53,95032.6,95123.98,34.44498606
ETH-USD,main,3317.58,3325.8,3321.04,3321.12,916.71053361,2026-01-18 12:00:00+00:00,122373866.2178,1920802.0,406418294573.25995,95123.98,95142.7,95028.87,95064.87,27.5133397
ETH-USD,main,3313.5,3329.07,3321.12,3324.87,1222.9840962,2026-01-18 13:00:00+00:00,122373866.2178,1920802.0,406877196571.5767,95064.86,95162.69,94858.81,95107.9,72.64280268
ETH-USD,main,3321.26,3346.71,3324.86,3323.58,2101.46117913,2026-01-18 14:00:00+00:00,122373866.2178,1920802.0,406719334284.15576,95107.98,95326.01,94881.88,94916.02,111.88727822
ETH-USD,main,3317.59,3334.64,3323.58,3332.3,1188.41601365,2026-01-18 15:00:00+00:00,122373866.2178,1920802.0,407786434397.575,94916.01,95110.99,94870.35,95074.1,100.34515623
ETH-USD,main,3328.64,3337.5,3332.48,3332.31,1029.55594477,2026-01-18 16:00:00+00:00,122373866.2178,1920802.0,407787658136.2371,95074.11,95150.0,95012.89,95126.01,63.2795954
ETH-USD,main,3331.14,3344.34,3332.56,3343.64,979.05875301,2026-01-18 17:00:00+00:00,122373866.2178,1920802.0,409174154040.4848,95126.01,95243.31,95100.92,95217.99,66.49789558
ETH-USD,main,3335.8,3367.65,3343.5,3360.9,3240.26619409,2026-01-18 18:00:00+00:00,122373866.2178,1920802.0,411286326971.40405,95217.99,95482.9,95062.24,95412.3,133.14087208
ETH-USD,main,3343.05,3364.94,3360.9,3345.87,1714.53485975,2026-01-18 19:00:00+00:00,122373866.2178,1920802.0,409447047762.1505,95412.3,95481.96,95274.52,95336.0,74.59643089
ETH-USD,main,3337.48,3352.67,3345.95,3340.1,1330.96017901,2026-01-18 20:00:00+00:00,122373866.2178,1920802.0,408740950554.0738,95336.0,95412.38,95241.38,95264.04,66.80485634
ETH-USD,main,3335.81,3344.55,3340.1,3340.6,978.67600528,2026-01-18 21:00:00+00:00,122373866.2178,1920802.0,408802137487.1827,95264.04,95398.29,95240.33,95384.08,75.65158246
ETH-USD,main,3338.79,3355.1,3340.6,3349.5,1346.85183279,2026-01-18 22:00:00+00:00,122373866.2178,1920802.0,409891264896.5211,95385.0,95485.0,95332.31,95444.4,92.31090551
ETH-USD,main,3276.92,3349.5,3349.5,3282.55,9474.23268385,2026-01-18 23:00:00+00:00,122373866.2178,1920802.0,401698334553.23944,95444.4,95452.63,93559.78,93633.53,1116.09549955
ETH-USD,main,3177.0,3282.71,3282.5,3210.87,17790.14992499,2026-01-19 00:00:00+00:00,122373866.2178,2528438.0,392926575822.7475,93630.0,93630.0,91935.3,92668.25,1072.86804282
ETH-USD,main,3193.32,3220.93,3210.86,3205.4,4346.1735186,2026-01-19 01:00:00+00:00,122373866.2178,2528438.0,392257190774.53613,92668.24,92846.12,92182.33,92536.89,321.91816729
ETH-USD,main,3193.03,3215.14,3205.2,3202.88,3328.23098634,2026-01-19 02:00:00+00:00,122373866.2178,2528438.0,391948808631.6673,92536.9,92637.24,92333.0,92522.0,197.86304397
ETH-USD,main,3194.1,3211.94,3202.78,3211.02,2403.42358227,2026-01-19 03:00:00+00:00,122373866.2178,2528438.0,392944931902.6802,92521.02,92747.37,92427.68,92656.01,189.55320736
ETH-USD,main,3203.56,3216.14,3210.78,3211.14,2631.24795228,2026-01-19 04:00:00+00:00,122373866.2178,2528438.0,392959616766.6263,92656.02,92709.0,92444.0,92616.36,168.16140701
ETH-USD,main,3194.62,3213.78,3211.14,3201.34,3476.39147454,2026-01-19 05:00:00+00:00,122373866.2178,2528438.0,391760352877.6919,92616.36,92770.06,92453.9,92472.18,174.67569108
ETH-USD,main,3186.01,3203.49,3201.34,3194.18,2681.85286072,2026-01-19 06:00:00+00:00,122373866.2178,2528438.0,390884155995.5724,92478.13,92590.37,92300.49,92544.51,267.84984684
ETH-USD,main,3194.0,3207.59,3194.18,3205.65,2416.00428817,2026-01-19 07:00:00+00:00,122373866.2178,2528438.0,392287784241.0906,92544.52,92811.58,92502.65,92787.38,115.76715761
ETH-USD,main,3195.82,3220.21,3205.66,3212.35,4292.22516222,2026-01-19 08:00:00+00:00,122373866.2178,2528438.0,393107689144.7498,92787.37,93327.89,92636.27,93208.01,235.42698322
ETH-USD,main,3204.16,3213.21,3212.16,3207.56,2669.60321752,2026-01-19 09:00:00+00:00,122373866.2178,2528438.0,392521518325.5666,93208.01,93219.94,92887.52,92997.85,190.25820582
ETH-USD,main,3203.53,3214.91,3207.56,3213.69,1484.04223624,2026-01-19 10:00:00+00:00,122373866.2178,2528438.0,393271670125.4817,92997.85,93035.2,92829.63,93015.99,98.5128881
ETH-USD,main,3210.88,3229.59,3213.85,3221.75,1655.99257741,2026-01-19 11:00:00+00:00,122373866.2178,2528438.0,394258003487.19714,93016.0,93255.22,92914.84,93133.08,67.70776374
ETH-USD,main,3217.29,3233.74,3221.96,3223.1,1879.29009811,2026-01-19 12:00:00+00:00,122373866.2178,2528438.0,394423208206.5912,93133.08,93169.49,92938.01,93010.71,94.92754156
ETH-USD,main,3211.03,3223.18,3223.1,3215.98,2027.83913781,2026-01-19 13:00:00+00:00,122373866.2178,2528438.0,393551906279.1205,93012.09,93096.83,92718.58,92975.03,149.30609344
ETH-USD,main,3201.24,3217.44,3216.05,3211.18,3491.99651304,2026-01-19 14:00:00+00:00,122373866.2178,2528438.0,392964511721.275,92975.03,92984.31,92640.01,92751.34,203.24435164
ETH-USD,main,3208.0,3218.73,3211.3,3214.47,2373.97171566,2026-01-19 15:00:00+00:00,122373866.2178,2528438.0,393367121741.1316,92751.34,93035.2,92751.05,93009.65,214.60876915
ETH-USD,main,3210.92,3226.59,3214.4,3221.68,2287.79356177,2026-01-19 16:00:00+00:00,122373866.2178,2528438.0,394249437316.5619,93009.65,93359.0,92928.81,93252.49,180.22569156
ETH-USD,main,3214.91,3224.55,3221.51,3218.4,1987.77147838,2026-01-19 17:00:00+00:00,122373866.2178,2528438.0,393848051035.36755,93252.49,93343.98,93087.75,93179.68,148.37814625
ETH-USD,main,3206.33,3219.59,3218.34,3212.97,3234.19401271,2026-01-19 18:00:00+00:00,122373866.2178,2528438.0,393183560941.8049,93179.68,93207.0,92872.58,93001.37,135.43889853
ETH-USD,main,3212.93,3223.18,3212.96,3218.32,2006.02884281,2026-01-19 19:00:00+00:00,122373866.2178,2528438.0,393838261126.0701,93001.38,93097.81,92930.9,93048.01,120.76470447
ETH-USD,main,3210.63,3224.0,3218.33,3212.43,3171.61512856,2026-01-19 20:00:00+00:00,122373866.2178,2528438.0,393117479054.04724,93048.01,93220.4,93027.98,93098.91,120.35240294
ETH-USD,main,3208.29,3219.87,3212.66,3211.03,1683.76938884,2026-01-19 21:00:00+00:00,122373866.2178,2528438.0,392946155641.3424,93096.0,93289.87,92936.02,92936.4,152.85215267
ETH-USD,main,3183.68,3213.09,3211.02,3186.51,3870.97457518,2026-01-19 22:00:00+00:00,122373866.2178,2528438.0,389945548441.68195,92937.03,92993.54,92480.2,92495.84,154.12650933
ETH-USD,main,3162.86,3195.97,3186.5,3187.51,5897.71129846,2026-01-19 23:00:00+00:00,122373866.2178,2528438.0,390067922307.8997,92495.85,92692.6,92079.93,92559.66,218.77789418
ETH-USD,main,3174.01,3198.16,3187.17,3181.73,3273.24736474,2026-01-20 00:00:00+00:00,122373866.2178,2288096.0,389360601361.1608,92559.65,92807.99,92285.75,92637.62,164.24688336
ETH-USD,main,3173.22,3196.85,3181.73,3190.74,2395.15127413,2026-01-20 01:00:00+00:00,122373866.2178,2288096.0,390463189895.78314,92637.63,92800.0,92447.09,92655.56,130.51874461
ETH-USD,main,3176.63,3197.7,3190.9,3190.14,3591.40259551,2026-01-20 02:00:00+00:00,122373866.2178,2288096.0,390389765576.0525,92658.9,92664.06,92268.04,92478.12,164.1563153
ETH-USD,main,3181.04,3192.79,3190.14,3186.13,2088.75782887,2026-01-20 03:00:00+00:00,122373866.2178,2288096.0,389899046372.51917,92478.12,92584.74,92190.13,92360.27,161.48784076
ETH-USD,main,3166.32,3186.8,3186.13,3170.18,3847.78882236,2026-01-20 04:00:00+00:00,122373866.2178,2288096.0,387947183206.3452,92360.27,92405.54,91884.05,91991.75,194.99814491
ETH-USD,main,3148.88,3172.03,3170.18,3168.42,5384.61665987,2026-01-20 05:00:00+00:00,122373866.2178,2288096.0,387731805201.8019,91991.02,92000.0,91208.1,91538.0,376.35608101
ETH-USD,main,3105.89,3169.61,3168.42,3113.0,6178.11014084,2026-01-20 06:00:00+00:00,122373866.2178,2288096.0,380949845536.0114,91541.53,91553.6,90676.73,90829.99,421.36333689
ETH-USD,main,3108.59,3127.95,3113.21,3119.95,3094.13796565,2026-01-20 07:00:00+00:00,122373866.2178,2288096.0,381800343906.2251,90827.53,91189.99,90752.63,91068.0,234.47196319
ETH-USD,main,3081.19,3120.53,3119.66,3103.1,4614.05872921,2026-01-20 08:00:00+00:00,122373866.2178,2288096.0,379738344260.4552,91072.1,91145.05,90558.99,91000.0,189.91649977
ETH-USD,main,3085.01,3104.76,3102.91,3090.78,2161.15611518,2026-01-20 09:00:00+00:00,122373866.2178,2288096.0,378230698228.6519,91000.0,91000.0,90795.54,90932.03,187.20911312
ETH-USD,main,3087.62,3105.65,3090.71,3099.65,989.57954711,2026-01-20 10:00:00+00:00,122373866.2178,2288096.0,379316154422.0038,90932.03,91205.12,90890.74,91170.01,87.17403371
ETH-USD,main,3099.71,3110.0,3099.71,3106.56,1293.3221876,2026-01-20 11:00:00+00:00,122373866.2178,2288096.0,380161757837.5688,91170.02,91360.77,91120.0,91134.95,133.778016
ETH-USD,main,3099.46,3111.95,3106.65,3108.49,1309.69729066,2026-01-20 12:00:00+00:00,122373866.2178,2288096.0,380397939399.36914,91134.9,91236.81,90958.74,91195.92,182.02726165
ETH-USD,main,3070.98,3110.55,3108.49,3076.07,4555.87751584,2026-01-20 13:00:00+00:00,122373866.2178,2288096.0,376430578656.5881,91195.92,91221.76,90667.27,90875.96,494.37907503
ETH-USD,main,3031.26,3086.3,3076.14,3043.8,11912.67232869,2026-01-20 14:00:00+00:00,122373866.2178,2288096.0,372481573993.7397,90875.95,91286.99,90170.27,90435.99,852.88283923
ETH-USD,main,2992.48,3046.2,3043.79,3029.7,14114.4633384,2026-01-20 15:00:00+00:00,122373866.2178,2288096.0,370756102480.06866,90382.0,90707.99,89750.0,90585.89,977.06891779
ETH-USD,main,2993.33,3039.4,3029.26,3006.05,10043.04055602,2026-01-20 16:00:00+00:00,122373866.2178,2288096.0,367861960544.01776,90585.89,90888.6,89908.03,90061.11,738.58341111
ETH-USD,main,2980.77,3020.37,3006.04,2996.39,11515.9831037,2026-01-20 17:00:00+00:00,122373866.2178,2288096.0,366679828996.35376,90061.1,90413.61,89305.88,89670.24,1069.7691312
ETH-USD,main,2983.95,3005.24,2996.11,2987.83,7946.30940269,2026-01-20 18:00:00+00:00,122373866.2178,2288096.0,365632308701.52936,89670.23,89851.95,89268.0,89378.96,746.27142604
ETH-USD,main,2976.11,2999.92,2987.82,2991.99,8916.73204615,2026-01-20 19:00:00+00:00,122373866.2178,2288096.0,366141383984.9954,89378.0,89688.48,89162.0,89594.0,688.0041394
ETH-USD,main,2981.5,3002.64,2991.99,3002.64,6224.34267532,2026-01-20 20:00:00+00:00,122373866.2178,2288096.0,367444665660.21497,89595.96,89722.0,89244.54,89592.06,1458.8148265
ETH-USD,main,2985.45,3002.85,3002.23,2989.22,2938.18960227,2026-01-20 21:00:00+00:00,122373866.2178,2288096.0,365802408375.5721,89606.0,89716.59,89291.99,89350.0,306.02832468
ETH-USD,main,2912.52,2994.89,2989.22,2947.65,5453.25304986,2026-01-20 22:00:00+00:00,122373866.2178,2288096.0,360715326756.8982,89350.0,89510.0,88001.68,88372.2,500.24696504
ETH-USD,main,2926.4,2949.0,2947.65,2936.5,4829.24081021,2026-01-20 23:00:00+00:00,122373866.2178,2288096.0,359350858148.5697,88375.77,88412.89,87767.53,88310.6,675.13667766
ETH-USD,main,2918.22,2965.6,2936.5,2956.27,5170.01376617,2026-01-21 00:00:00+00:00,122373866.2178,2473536.0,361770189483.6956,88310.6,88877.19,88130.01,88819.72,305.89252755
ETH-USD,main,2951.38,2970.64,2956.21,2961.6,4080.74245849,2026-01-21 01:00:00+00:00,122373866.2178,2473536.0,362422442190.6365,88819.97,89052.46,88700.82,88907.35,292.53122164
ETH-USD,main,2954.32,2971.8,2961.6,2958.3,3001.74268172,2026-01-21 02:00:00+00:00,122373866.2178,2473536.0,362018608432.1178,88907.25,89249.25,88869.83,88942.0,237.29263944
ETH-USD,main,2957.4,2981.04,2958.2,2977.85,3183.82559314,2026-01-21 03:00:00+00:00,122373866.2178,2473536.0,364411017516.6757,88941.99,89495.99,88924.26,89319.06,237.69402192
ETH-USD,main,2970.77,2981.98,2977.85,2975.78,2093.09905218,2026-01-21 04:00:00+00:00,122373866.2178,2473536.0,364157703613.6049,89319.06,89511.4,89220.93,89327.27,166.64323986
ETH-USD,main,2974.21,2998.95,2975.77,2989.95,2404.46276817,2026-01-21 05:00:00+00:00,122373866.2178,2473536.0,365891741297.91113,89327.27,90009.7,89318.33,89847.96,286.97403517
ETH-USD,main,2972.2,2990.72,2989.94,2977.1,2964.21245965,2026-01-21 06:00:00+00:00,122373866.2178,2473536.0,364319237117.0124,89847.99,89847.99,89390.2,89547.43,164.4729335
ETH-USD,main,2963.03,2982.4,2976.89,2967.45,2733.78049764,2026-01-21 07:00:00+00:00,122373866.2178,2473536.0,363138329308.0106,89547.42,89658.14,88908.91,89092.77,709.23443698
ETH-USD,main,2953.38,2971.15,2967.3,2962.2,2578.5013029,2026-01-21 08:00:00+00:00,122373866.2178,2473536.0,362495866510.3671,89088.73,89271.14,88874.06,89080.0,169.5481806
ETH-USD,main,2946.55,2971.78,2962.09,2950.65,1711.35233196,2026-01-21 09:00:00+00:00,122373866.2178,2473536.0,361082448355.5516,89079.99,89387.16,88950.01,89001.07,161.96149786
ETH-USD,main,2948.4,2966.25,2950.98,2959.86,2366.49960411,2026-01-21 10:00:00+00:00,122373866.2178,2473536.0,362209511663.41754,89001.07,89289.29,88950.17,89139.58,109.84183801
