ticker,caller,low,high,Open,close,volume,timestamp
BTC-USD,main,6175.7,6220.0,6192.47,6207.21,444.78099387,2020-04-01 17:00:00+00:00
BTC-USD,main,6196.49,6236.56,6207.18,6201.67,502.17787968,2020-04-01 18:00:00+00:00
BTC-USD,main,6169.11,6223.28,6201.61,6214.99,615.91367569,2020-04-01 19:00:00+00:00
BTC-USD,main,6202.13,6401.67,6206.38,6350.0,864.33951733,2020-04-01 20:00:00+00:00
BTC-USD,main,6347.09,6420.0,6347.12,6370.0,643.16437898,2020-04-01 21:00:00+00:00
BTC-USD,main,6369.09,6618.43,6370.0,6540.45,2589.63510593,2020-04-01 22:00:00+00:00
BTC-USD,main,6521.0,6744.99,6539.95,6666.11,1461.52918659,2020-04-01 23:00:00+00:00
BTC-USD,main,6602.57,6767.0,6666.11,6633.19,2525.82279156,2020-04-02 00:00:00+00:00
BTC-USD,main,6570.92,6658.42,6643.41,6581.35,205.35213966,2020-04-02 01:00:00+00:00
BTC-USD,main,6583.63,6641.37,6585.02,6627.01,560.36695711,2020-04-02 02:00:00+00:00
BTC-USD,main,6596.8,6636.06,6627.0,6620.68,381.17663362,2020-04-02 03:00:00+00:00
BTC-USD,main,6606.64,6653.44,6620.68,6615.0,509.06460864,2020-04-02 04:00:00+00:00
BTC-USD,main,6584.0,6619.31,6614.99,6618.73,326.7381465,2020-04-02 05:00:00+00:00
BTC-USD,main,6603.93,6655.02,6618.73,6650.25,350.89054212,2020-04-02 06:00:00+00:00
BTC-USD,main,6627.81,6695.0,6650.25,6660.76,669.05578877,2020-04-02 07:00:00+00:00
BTC-USD,main,6616.84,6683.63,6660.76,6667.2,456.58773324,2020-04-02 08:00:00+00:00
BTC-USD,main,6642.81,6668.1,6663.63,6651.44,137.70927291,2020-04-02 09:00:00+00:00
BTC-USD,main,6628.54,6720.0,6654.76,6663.46,442.26730478,2020-04-02 10:00:00+00:00
BTC-USD,main,6620.14,6715.0,6663.07,6695.0,429.32580924,2020-04-02 11:00:00+00:00
BTC-USD,main,6585.0,6733.49,6700.0,6666.43,835.44325211,2020-04-02 12:00:00+00:00
BTC-USD,main,6630.83,6685.97,6666.35,6653.56,467.80709145,2020-04-02 13:00:00+00:00
BTC-USD,main,6648.47,6830.35,6653.32,6795.0,2063.4267377,2020-04-02 14:00:00+00:00
BTC-USD,main,6732.27,6848.23,6794.99,6818.37,1255.28008805,2020-04-02 15:00:00+00:00
BTC-USD,main,6804.02,6924.95,6818.38,6922.29,2255.37709466,2020-04-02 16:00:00+00:00
BTC-USD,main,6920.39,7292.11,6923.02,7091.69,6403.46772603,2020-04-02 17:00:00+00:00
BTC-USD,main,6761.66,7097.96,7091.68,6796.02,3142.02950739,2020-04-02 18:00:00+00:00
BTC-USD,main,6730.0,6882.03,6793.91,6813.47,1071.21445674,2020-04-02 19:00:00+00:00
BTC-USD,main,6650.0,6817.4,6813.47,6756.1,1274.50260546,2020-04-02 20:00:00+00:00
BTC-USD,main,6721.0,6860.91,6758.22,6841.87,1308.91872717,2020-04-02 21:00:00+00:00
BTC-USD,main,6783.95,6875.0,6841.87,6852.94,949.4312245,2020-04-02 22:00:00+00:00
BTC-USD,main,6742.99,6851.68,6851.68,6804.52,739.75180172,2020-04-02 23:00:00+00:00
BTC-USD,main,6730.93,6821.03,6804.24,6748.61,485.39883727,2020-04-03 00:00:00+00:00
BTC-USD,main,6732.0,6810.0,6747.72,6808.57,277.75960542,2020-04-03 01:00:00+00:00
BTC-USD,main,6785.0,6830.24,6807.0,6816.0,251.61156929,2020-04-03 02:00:00+00:00
BTC-USD,main,6770.29,6833.7,6818.86,6789.42,345.79834449,2020-04-03 03:00:00+00:00
BTC-USD,main,6770.0,6805.0,6788.67,6794.87,107.30643887,2020-04-03 04:00:00+00:00
BTC-USD,main,6751.0,6799.32,6792.9,6784.97,166.02099236,2020-04-03 05:00:00+00:00
BTC-USD,main,6770.24,6832.19,6784.96,6809.9,236.88390469,2020-04-03 06:00:00+00:00
BTC-USD,main,6796.53,6962.0,6807.24,6943.38,770.12780399,2020-04-03 07:00:00+00:00
BTC-USD,main,6883.33,6993.0,6943.38,6933.75,384.24911041,2020-04-03 08:00:00+00:00
BTC-USD,main,6902.24,6980.0,6935.27,6966.0,276.96803219,2020-04-03 09:00:00+00:00
BTC-USD,main,6915.06,7050.0,6965.99,7021.22,683.34107699,2020-04-03 10:00:00+00:00
BTC-USD,main,6939.91,7040.0,7025.0,7015.0,1076.03699204,2020-04-03 11:00:00+00:00
BTC-USD,main,6844.42,7015.0,7015.0,6928.16,1060.73622776,2020-04-03 12:00:00+00:00
BTC-USD,main,6832.48,6954.98,6927.09,6850.1,632.44688417,2020-04-03 13:00:00+00:00
BTC-USD,main,6738.26,6869.96,6848.88,6799.89,1066.53721145,2020-04-03 14:00:00+00:00
BTC-USD,main,6680.48,6828.0,6799.89,6722.09,1598.46889787,2020-04-03 15:00:00+00:00
BTC-USD,main,6606.06,6779.93,6722.09,6766.68,1439.46201481,2020-04-03 16:00:00+00:00
BTC-USD,main,6674.98,6797.99,6766.69,6725.38,1004.72866333,2020-04-03 17:00:00+00:00
BTC-USD,main,6686.31,6761.28,6725.38,6754.26,493.32826088,2020-04-03 18:00:00+00:00
BTC-USD,main,6747.95,6804.19,6756.47,6780.05,673.93548196,2020-04-03 19:00:00+00:00
BTC-USD,main,6693.84,6832.59,6781.15,6706.7,931.96253282,2020-04-03 20:00:00+00:00
BTC-USD,main,6683.51,6765.55,6705.34,6736.41,501.02298471,2020-04-03 21:00:00+00:00
BTC-USD,main,6720.08,6778.66,6738.47,6776.82,225.60779562,2020-04-03 22:00:00+00:00
BTC-USD,main,6727.13,6794.87,6778.07,6741.99,263.43997318,2020-04-03 23:00:00+00:00
BTC-USD,main,6721.46,6769.84,6741.99,6762.81,427.70928529,2020-04-04 00:00:00+00:00
BTC-USD,main,6755.0,6809.86,6765.53,6768.02,375.02886506,2020-04-04 01:00:00+00:00
BTC-USD,main,6686.17,6769.99,6767.75,6686.18,365.3309382,2020-04-04 02:00:00+00:00
BTC-USD,main,6672.01,6721.3,6691.46,6704.98,254.71174607,2020-04-04 03:00:00+00:00
BTC-USD,main,6693.12,6744.06,6704.99,6727.01,151.94426614,2020-04-04 04:00:00+00:00
BTC-USD,main,6720.04,6774.83,6727.01,6737.59,107.85458052,2020-04-04 05:00:00+00:00
BTC-USD,main,6705.01,6742.57,6737.52,6737.19,90.07272202,2020-04-04 06:00:00+00:00
BTC-USD,main,6723.45,6751.56,6737.19,6741.14,102.18154765,2020-04-04 07:00:00+00:00
BTC-USD,main,6738.48,6790.0,6741.13,6790.0,136.61970232,2020-04-04 08:00:00+00:00
BTC-USD,main,6751.98,6873.24,6790.0,6850.12,709.8700685,2020-04-04 09:00:00+00:00
BTC-USD,main,6807.07,6904.53,6850.91,6891.24,424.83242785,2020-04-04 10:00:00+00:00
BTC-USD,main,6658.16,6915.17,6891.25,6705.0,1014.82805133,2020-04-04 11:00:00+00:00
BTC-USD,main,6675.67,6744.17,6705.33,6722.01,326.94380134,2020-04-04 12:00:00+00:00
BTC-USD,main,6701.01,6751.19,6722.0,6743.73,181.38311883,2020-04-04 13:00:00+00:00
BTC-USD,main,6712.91,6745.06,6742.52,6722.74,201.43550106,2020-04-04 14:00:00+00:00
BTC-USD,main,6718.25,6774.14,6721.0,6740.24,257.75242606,2020-04-04 15:00:00+00:00
BTC-USD,main,6725.26,6812.17,6740.24,6800.0,501.7378577,2020-04-04 16:00:00+00:00
BTC-USD,main,6776.46,6820.46,6800.0,6789.59,327.56269939,2020-04-04 17:00:00+00:00
BTC-USD,main,6782.21,6816.89,6789.7,6786.69,250.0729367,2020-04-04 18:00:00+00:00
BTC-USD,main,6730.01,6805.0,6786.69,6762.75,355.21223077,2020-04-04 19:00:00+00:00
BTC-USD,main,6748.0,7025.53,6762.75,6844.27,2408.85965914,2020-04-04 20:00:00+00:00
BTC-USD,main,6840.39,6911.25,6840.41,6880.8,628.14595781,2020-04-04 21:00:00+00:00
BTC-USD,main,6798.99,6892.41,6880.0,6859.32,373.44221542,2020-04-04 22:00:00+00:00
BTC-USD,main,6836.82,6885.0,6859.37,6874.77,244.14647279,2020-04-04 23:00:00+00:00
BTC-USD,main,6850.84,6925.0,6874.77,6871.22,523.45681724,2020-04-05 00:00:00+00:00
BTC-USD,main,6840.0,6893.41,6872.39,6863.58,300.26738921,2020-04-05 01:00:00+00:00
BTC-USD,main,6810.0,6863.58,6863.58,6853.88,289.25267612,2020-04-05 02:00:00+00:00
BTC-USD,main,6800.0,6857.68,6853.87,6806.15,301.7675896,2020-04-05 03:00:00+00:00
BTC-USD,main,6751.99,6806.15,6806.15,6780.08,587.21203131,2020-04-05 04:00:00+00:00
BTC-USD,main,6767.22,6844.07,6780.09,6793.15,414.32257125,2020-04-05 05:00:00+00:00
BTC-USD,main,6745.46,6796.97,6788.03,6781.49,293.00987176,2020-04-05 06:00:00+00:00
BTC-USD,main,6761.95,6793.93,6778.93,6779.72,156.79418077,2020-04-05 07:00:00+00:00
BTC-USD,main,6757.99,6806.07,6779.71,6784.43,172.56726942,2020-04-05 08:00:00+00:00
BTC-USD,main,6770.0,6833.98,6784.43,6774.79,213.83994978,2020-04-05 09:00:00+00:00
BTC-USD,main,6746.31,6787.41,6774.79,6755.01,245.17836266,2020-04-05 10:00:00+00:00
BTC-USD,main,6751.98,6822.25,6755.01,6783.32,428.70621822,2020-04-05 11:00:00+00:00
BTC-USD,main,6762.64,6803.94,6783.31,6795.38,290.70669274,2020-04-05 12:00:00+00:00
BTC-USD,main,6787.27,6829.12,6795.38,6801.8,170.80432554,2020-04-05 13:00:00+00:00
BTC-USD,main,6772.55,6801.81,6801.8,6776.8,208.59075488,2020-04-05 14:00:00+00:00
BTC-USD,main,6770.0,6809.93,6776.8,6793.74,241.30999709,2020-04-05 15:00:00+00:00
BTC-USD,main,6773.0,6798.06,6793.74,6783.01,251.28471711,2020-04-05 16:00:00+00:00
BTC-USD,main,6681.0,6842.01,6783.0,6810.01,1697.22991899,2020-04-05 17:00:00+00:00
BTC-USD,main,6785.31,6826.39,6807.04,6803.42,398.28033121,2020-04-05 18:00:00+00:00
BTC-USD,main,6795.01,6820.34,6803.42,6804.0,231.79828341,2020-04-05 19:00:00+00:00
BTC-USD,main,6736.36,6804.0,6804.0,6761.1,480.91980518,2020-04-05 20:00:00+00:00
BTC-USD,main,6729.45,6794.31,6761.1,6766.99,315.58644648,2020-04-05 21:00:00+00:00
BTC-USD,main,6761.86,6816.67,6766.73,6808.23,478.91232785,2020-04-05 22:00:00+00:00
BTC-USD,main,6775.68,6814.99,6808.23,6778.25,271.11207037,2020-04-05 23:00:00+00:00
BTC-USD,main,6773.28,6888.0,6778.64,6879.1,1030.99302627,2020-04-06 00:00:00+00:00
BTC-USD,main,6833.2,6899.0,6877.81,6849.0,721.80168919,2020-04-06 01:00:00+00:00
BTC-USD,main,6803.02,6857.53,6849.0,6829.78,473.02914493,2020-04-06 02:00:00+00:00
BTC-USD,main,6828.1,6858.22,6830.06,6851.56,460.1399409,2020-04-06 03:00:00+00:00
BTC-USD,main,6851.2,6975.0,6851.2,6957.91,1839.44207731,2020-04-06 04:00:00+00:00
BTC-USD,main,6926.0,7018.0,6955.47,7010.0,1812.68457909,2020-04-06 05:00:00+00:00
BTC-USD,main,6976.97,7119.0,7010.0,7096.0,1626.92707609,2020-04-06 06:00:00+00:00
BTC-USD,main,6976.43,7119.99,7096.36,7041.05,1290.42140869,2020-04-06 07:00:00+00:00
BTC-USD,main,7016.75,7096.26,7039.91,7054.72,652.03873866,2020-04-06 08:00:00+00:00
BTC-USD,main,7048.69,7159.0,7053.0,7118.84,975.39879434,2020-04-06 09:00:00+00:00
BTC-USD,main,7085.71,7167.16,7118.2,7091.3,750.86625109,2020-04-06 10:00:00+00:00
BTC-USD,main,7085.38,7139.9,7090.05,7111.46,690.93518047,2020-04-06 11:00:00+00:00
BTC-USD,main,7110.0,7180.0,7111.47,7142.44,917.7992106,2020-04-06 12:00:00+00:00
BTC-USD,main,7051.01,7180.0,7142.44,7112.47,1534.73634395,2020-04-06 13:00:00+00:00
BTC-USD,main,7072.15,7134.99,7111.6,7114.36,804.99580727,2020-04-06 14:00:00+00:00
BTC-USD,main,7102.1,7164.25,7114.85,7155.84,938.01756543,2020-04-06 15:00:00+00:00
BTC-USD,main,7092.43,7196.0,7155.85,7158.72,1442.33477605,2020-04-06 16:00:00+00:00
BTC-USD,main,7145.0,7239.31,7158.8,7224.58,1866.22927028,2020-04-06 17:00:00+00:00
BTC-USD,main,7190.0,7259.99,7224.58,7255.14,1161.82623043,2020-04-06 18:00:00+00:00
BTC-USD,main,7232.95,7322.0,7255.14,7278.09,3078.33857395,2020-04-06 19:00:00+00:00
BTC-USD,main,7194.55,7303.32,7278.09,7228.67,1490.36713372,2020-04-06 20:00:00+00:00
BTC-USD,main,7215.0,7300.0,7228.67,7300.0,593.18917662,2020-04-06 21:00:00+00:00
BTC-USD,main,7240.0,7300.0,7300.0,7277.56,493.75796699,2020-04-06 22:00:00+00:00
BTC-USD,main,7256.09,7373.37,7277.56,7341.56,1345.74322549,2020-04-06 23:00:00+00:00
BTC-USD,main,7315.77,7461.0,7341.55,7374.91,3608.36016008,2020-04-07 00:00:00+00:00
BTC-USD,main,7341.24,7418.92,7374.91,7354.57,1335.73540429,2020-04-07 01:00:00+00:00
BTC-USD,main,7257.75,7396.2,7354.13,7319.2,1268.04587521,2020-04-07 02:00:00+00:00
BTC-USD,main,7273.24,7335.22,7319.2,7332.96,897.46747285,2020-04-07 03:00:00+00:00
BTC-USD,main,7230.0,7336.63,7333.0,7258.77,845.96698904,2020-04-07 04:00:00+00:00
BTC-USD,main,7251.95,7305.58,7258.57,7286.57,321.61991431,2020-04-07 05:00:00+00:00
BTC-USD,main,7267.28,7315.0,7286.56,7315.0,390.64032056,2020-04-07 06:00:00+00:00
BTC-USD,main,7310.11,7390.0,7315.0,7387.99,627.98094695,2020-04-07 07:00:00+00:00
BTC-USD,main,7330.0,7390.0,7387.99,7368.89,189.24827986,2020-04-07 08:00:00+00:00
BTC-USD,main,7348.08,7382.4,7368.89,7380.62,246.22605147,2020-04-07 09:00:00+00:00
BTC-USD,main,7377.0,7451.02,7382.88,7437.57,806.30494418,2020-04-07 10:00:00+00:00
BTC-USD,main,7371.13,7437.58,7437.58,7392.13,514.12052384,2020-04-07 11:00:00+00:00
BTC-USD,main,7301.62,7466.0,7391.22,7346.88,1102.51609223,2020-04-07 12:00:00+00:00
BTC-USD,main,7345.96,7407.81,7346.05,7361.2,636.35809052,2020-04-07 13:00:00+00:00
BTC-USD,main,7271.0,7362.1,7362.05,7285.54,1095.39793061,2020-04-07 14:00:00+00:00
BTC-USD,main,7287.63,7356.12,7290.29,7333.02,600.70979231,2020-04-07 15:00:00+00:00
BTC-USD,main,7330.6,7400.0,7333.02,7377.88,702.60963414,2020-04-07 16:00:00+00:00
BTC-USD,main,7335.0,7383.39,7378.08,7360.72,442.87255146,2020-04-07 17:00:00+00:00
BTC-USD,main,7292.0,7360.73,7360.72,7314.36,725.6864511,2020-04-07 18:00:00+00:00
BTC-USD,main,7290.17,7365.02,7314.34,7290.94,1100.88318748,2020-04-07 19:00:00+00:00
BTC-USD,main,7073.0,7294.25,7290.94,7119.5,3260.39868519,2020-04-07 20:00:00+00:00
BTC-USD,main,7085.0,7226.7,7119.51,7176.95,953.20497915,2020-04-07 21:00:00+00:00
BTC-USD,main,7135.0,7198.17,7176.95,7170.02,488.66299222,2020-04-07 22:00:00+00:00
BTC-USD,main,7160.5,7214.99,7170.02,7200.01,582.04895139,2020-04-07 23:00:00+00:00
BTC-USD,main,7155.13,7214.62,7200.01,7158.42,377.84370957,2020-04-08 00:00:00+00:00
BTC-USD,main,7154.22,7189.39,7158.42,7161.0,355.92590445,2020-04-08 01:00:00+00:00
BTC-USD,main,7160.0,7286.86,7160.0,7268.49,769.0100186,2020-04-08 02:00:00+00:00
BTC-USD,main,7267.38,7396.99,7269.08,7351.79,1973.12321908,2020-04-08 03:00:00+00:00
BTC-USD,main,7331.03,7376.59,7351.79,7361.51,626.59934809,2020-04-08 04:00:00+00:00
BTC-USD,main,7336.74,7423.84,7360.62,7418.42,483.9906229,2020-04-08 05:00:00+00:00
BTC-USD,main,7291.0,7430.0,7419.92,7315.58,606.03224238,2020-04-08 06:00:00+00:00
BTC-USD,main,7308.81,7350.81,7315.58,7324.91,648.63349224,2020-04-08 07:00:00+00:00
BTC-USD,main,7262.73,7337.8,7325.79,7297.58,313.62371845,2020-04-08 08:00:00+00:00
BTC-USD,main,7280.56,7331.47,7296.94,7311.81,242.27038245,2020-04-08 09:00:00+00:00
BTC-USD,main,7221.02,7344.97,7310.34,7253.93,773.34547065,2020-04-08 10:00:00+00:00
BTC-USD,main,7237.09,7307.07,7253.92,7298.7,308.04702858,2020-04-08 11:00:00+00:00
BTC-USD,main,7232.29,7372.82,7298.4,7284.0,682.5669014,2020-04-08 12:00:00+00:00
BTC-USD,main,7196.45,7312.21,7284.01,7223.32,700.74826827,2020-04-08 13:00:00+00:00
BTC-USD,main,7221.49,7274.99,7224.19,7272.92,481.29153,2020-04-08 14:00:00+00:00
BTC-USD,main,7262.05,7301.93,7272.92,7282.02,530.81255486,2020-04-08 15:00:00+00:00
BTC-USD,main,7260.01,7348.0,7282.01,7333.11,1082.36963661,2020-04-08 16:00:00+00:00
