timestamp,btc_hashrate_thps
1729987,765702457.1015625
1730332,751434709.4537071
1730678,720519107.2542773
1731024,717510664.7072663
1731369,737722232.7271894
1731715,793304044.7819778
1732060,747470602.2973549
1732406,681367759.9173166
1732752,722046432.1511863
1733097,649582756.2207783
1733443,702558736.3396405
1733788,795544451.4434165
1734134,821373816.7500207
1734480,776835370.7386113
1734825,836176961.5589218
1735171,706704399.7691535
1735516,867710155.9849901
1735862,774936114.1501169
1736208,731277741.5219413
1736553,753106927.8360293
1736899,763192579.4414012
1737244,823589114.5051093
1737590,746720797.1512991
1737936,841602268.6110247
1738281,671743783.1087936
1738627,703987484.6980155
1738972,859832042.3792553
1739318,754813012.7554775
1739664,856968157.3389257
1740009,737787155.324903
1740355,714530229.8374169
1740700,857436275.8049003
1741046,802472411.9712528
1741392,753004934.5209701
1741737,852972260.0961236
1742083,808372403.3590714
1742428,791647457.0826768
1742774,870857131.0489082
1743120,870857131.0489082
1743465,763413718.7766403
1743811,948981343.907835
1744156,791264255.7881161
1744502,1038911847.29432
1744848,924148329.2792498
1745193,771877846.401681
1745539,882146110.1733494
1745884,894398139.4813126
1746230,999957994.459352
1746576,894116485.453914
1746921,882273882.9975705
1747267,864509979.3130558
1747612,852722089.09428
1747958,937389530.5646338
1748304,852722089.09428
1748649,1016284104.8877772
1748995,795352777.73826
1749340,965785515.8250304
1749686,934223897.6608136
1750032,917456209.4405266
1750377,948875942.6405448
1750723,735221756.880422
1751068,911172262.800523
1751414,889547992.701345
1751760,930246266.8772236
1752105,994200697.7250328
1752451,910161831.228891
1752796,903884853.0824848
1753142,941546721.960922
1753488,970032969.1338756
1753833,869131963.3112651
1754179,983324484.0382924
1754524,1021388657.6139684
1754870,945836287.6602162
1755216,862190901.6766596
1755561,862190901.6766596
1755907,980001769.6141684
1756252,967107009.4876657
1756598,851054168.3491462
1756944,902633208.8551546
1757289,1082012601.5468135
1757635,811509451.1601102
1757980,1082012601.5468135
1758326,1082611043.2192645
1758672,1082611043.2192645
1759017,1167521713.2756777
1759363,1019764936.475331
1759708,922287405.7828364
1760054,989771850.1084098
1760400,1267207899.0024335
1760745,1203393599.4625034
1761091,1115874064.956139
1761436,1072114297.7029574
1761782,1240553837.666823
1762128,1100991530.929305
1762473,1100991530.929305
1762819,1186279607.2688992
1763424,1006737198.683799
1763769,1082431724.900626
1764115,1241390229.9559624
1764460,1239441135.1156871
1764806,979678022.9656932
1765152,1098426874.2342618
1765497,1068190154.384884
1765843,1082923811.686744
1766188,1082923811.686744
1766534,1171325755.4979067
1766880,1142344841.882498
1767225,1112864974.9952078
1767571,972835607.2805792
1767916,1033929118.9983668
1768262,982960782.146335
1768608,1084897455.850399
1768953,997523164.104058
1769299,760574860.3057833
1769644,901422056.658706
1769990,830998458.4822448
1770336,1021142173.5586904
1770681,900973830.4794524
